"sightDate","year","time","quad","fishArea","lat","long","count","comments","channel","source"
"4/5/14",2014,"8:28",383,"8",48.06,-122.4,1,"young gray whale","hotline","public"
"4/16/13",2013,"12:34",384,"8",48.02,-122.31,3,"Whales #723, #49, and #383","orca network","reliable"
"3/19/19",2019,"16:28",373,"8",48.23,-122.67,2,"West of  peir NW end of Penn Cove.  Milling, directional changes. (NPS CRC-44, NPS CRC-56)","orca network","reliable"
"2/6/15",2015,"",421,"11",47.28,-122.43,1,"vido by KIRO","orca network","reliable"
"4/20/14",2014,"12:17",384,"8",48.02,-122.31,2,"two transients nearby. Id: #723","orca network","public"
"3/31/16",2016,"8:58",378,"8",48.13,-122.38,1,"two adults and maybe calf","orca network","public"
"2/24/15",2015,"14:12",397,"9",47.9,-122.46,4,"Three adults and one juvenile, very close to shore","hotline","public"
"3/17/18",2018,"12:00",384,"8",48.02,-122.31,1,"thought to be CRC ID#44 due to ""divot behind his dorsal fin ""","orca network","public"
"11/28/21",2021,"8:46",426,"13",47.18,-122.61,1,"this individual is named Shrimp","orca network","public"
"8/6/18",2018,"",381,"8",48.1,-122.44,1,"this in response to gray 2234 post, but this could be 2nd gray who keeps primarily to Possession Sound/S Saratoga/Port Susan and is possibly PCFG 185 - alb","orca network","public"
"12/10/18",2018,"",385,"8",48.01,-122.22,1,"the ""new gray"" CRC2246","orca network","reliable"
"12/9/18",2018,"",385,"8",48.01,-122.22,1,"the ""new gray"" CRC2246","orca network","reliable"
"1/26/19",2019,"13:00",385,"8",48.01,-122.22,1,"Stayed in area, milling. ID: NPS Gray CRID-2246 by Alie Perez, Cascadia Research","orca network","public"
"7/4/18",2018,"13:40",385,"8",48.01,-122.22,1,"Source says ""guessing it's #185 again""","orca network","reliable"
"11/26/21",2021,"12:00",426,"13",47.18,-122.61,1,"Shrimp","orca network","public"
"4/29/18",2018,"",386,"8",47.96,-122.29,2,"Shackleton (#21) and Earhart (#22)","orca network","reliable"
"3/21/18",2018,"",384,"8",48.02,-122.31,2,"SE of Hat. #383 and #22","orca network","reliable"
"3/23/18",2018,"13:48",384,"8",48.02,-122.31,1,"SE of Hat. #185","orca network","reliable"
"3/11/19",2019,"12:10",384,"8",48.02,-122.31,2,"SE of Hat Island. CRC-49, CRC-53","orca network","reliable"
"3/30/14",2014,"14:55",379,"8",48.12,-122.52,2,"Saw from 14:55-15:25","orca network","public"
"8/11/16",2016,"15:50",221,"7",48.44,-122.76,1,"Saratoga Gray #724","orca network","reliable"
"8/15/16",2016,"15:30",180,"19C",48.5,-123.25,1,"Saratoga Gray #723","orca network","reliable"
"8/11/16",2016,"14:14",389,"9",48.09,-122.63,1,"Saratoga Gray #723","orca network","public"
"8/15/16",2016,"",162,"18C",48.74,-123.3,1,"Saratoga Gray # 723","orca network","reliable"
"3/19/18",2018,"16:35",384,"8",48.02,-122.31,2,"Presumably 49 and 185","orca network","public"
"3/21/19",2019,"",383,"8",48.06,-122.4,1,"Possibly CRC-531, near dock.","orca network","public"
"3/17/19",2019,"14:25",398,"9",47.89,-122.36,2,"Possibly CRC-53, CRC-383","orca network","public"
"3/21/19",2019,"11:17",371,"8",48.27,-122.45,1,"Possibly CRC-21, not confirmed.","orca network","reliable"
"12/22/18",2018,"13:30",385,"8",48.01,-122.22,2,"Possibly 2246 and 185","orca network","reliable"
"3/13/16",2016,"12:59",381,"8",48.1,-122.44,1,"Possibly #723","orca network","reliable"
"4/2/20",2020,"9:39",381,"8",48.1,-122.44,1,"Possible Gray #531","orca network","public"
"1/16/19",2019,"14:00",372,"8",48.27,-122.56,1,"Polnell Shores. End sighting at 15:00. ID CRC185 by Alisa Lemire Brooks, other sightings by Marcie Goldberg and Terra Parham.","orca network","reliable"
"7/9/18",2018,"13:30",385,"8",48.01,-122.22,1,"PCFG CRC-185","orca network","reliable"
"7/5/18",2018,"18:45",384,"8",48.02,-122.31,1,"PCFG CRC-185","orca network","reliable"
"7/3/18",2018,"13:49",385,"8",48.01,-122.22,1,"PCFG CRC-185","orca network","reliable"
"7/1/18",2018,"10:55",386,"8",47.96,-122.29,1,"PCFG CRC-185","orca network","reliable"
"5/20/18",2018,"10:00",380,"8",48.06,-122.52,1,"PCFG CRC-185","orca network","public"
"8/9/18",2018,"",378,"8",48.13,-122.38,1,"PCFG 185","orca network","public"
"6/22/18",2018,"",384,"8",48.02,-122.31,1,"PCFG 185","orca network","reliable"
"4/15/18",2018,"18:30",383,"8",48.06,-122.4,1,"PCFG 185","orca network","reliable"
"4/6/18",2018,"14:05",384,"8",48.02,-122.31,1,"PCFG 185","orca network","reliable"
"4/24/16",2016,"15:00",384,"8",48.02,-122.31,1,"Patch. We also saw #723 Lucyfer, and #21 Shackleton","orca network","reliable"
"5/16/19",2019,"",386,"8",47.96,-122.29,5,"Patch, Shackleton, Earhart and Dubknuck","orca network","reliable"
"4/8/13",2013,"13:54",384,"8",48.02,-122.31,2,"Patch and other Gray","orca network","reliable"
"5/14/19",2019,"",385,"8",48.01,-122.22,2,"Patch and Lucyfe","orca network","reliable"
"3/28/15",2015,"11:35",386,"8",47.96,-122.29,6,"patch and little patch","orca network","reliable"
"3/18/17",2017,"",378,"8",48.13,-122.38,2,"Patch and another","orca network","reliable"
"3/20/15",2015,"11:00",386,"8",47.96,-122.29,2,"Patch and another","orca network","reliable"
"3/19/16",2016,"15:19",384,"8",48.02,-122.31,1,"Patch #49","orca network","reliable"
"3/14/15",2015,"13:10",378,"8",48.13,-122.38,1,"Patch #49","orca network","reliable"
"5/9/13",2013,"",261,"20C",48.31,-123.62,1,"Patch #49","orca network","ww-5 star"
