"sightDate","year","time","quad","fishArea","lat","long","count","comments","channel","source","month","season","whale_identifier","sounders"
"2016-04-24",2016,"15:00",384,"8",48.02,-122.31,1,"21","orca network","reliable",4,"spring","21","y"
"2016-04-22",2016,"12:02",384,"8",48.02,-122.31,1,"21","orca network","reliable",4,"spring","21","y"
"2022-05-21",2022,"17:30",382,"8",48.08,-122.33,1,"21","orca network","public",5,"spring","21","y"
"2022-05-10",2022,"11:40",374,"8",48.23,-122.57,1,"21","orca network","reliable",5,"spring","21","y"
"2021-04-23",2021,"16:28",378,"8",48.13,-122.38,1,"21","orca network","reliable",4,"spring","21","y"
"2021-03-24",2021,"13:15",371,"8",48.27,-122.45,1,"21","orca network","public",3,"spring","21","y"
"2022-03-12",2022,"12:30",379,"8",48.12,-122.52,1,"21","orca network","reliable",3,"spring","21","y"
"2023-04-24",2023,"12:05",386,"8",47.96,-122.29,1,"21","orca network","reliable",4,"spring","21","y"
"2023-04-23",2023,"19:00",378,"8",48.13,-122.38,1,"21","orca network","public",4,"spring","21","y"
"2023-04-16",2023,"16:00",378,"8",48.13,-122.38,1,"21","orca network","reliable",4,"spring","21","y"
"2017-04-09",2017,"11:45",383,"8",48.06,-122.4,1,"21","other","ww",4,"spring","21","y"
"2018-05-20",2018,"0:00",381,"8",48.1,-122.44,1,"21","orca network","public",5,"spring","21","y"
"2018-05-20",2018,"12:55",381,"8",48.1,-122.44,1,"21","orca network","reliable",5,"spring","21","y"
"2018-05-20",2018,"14:00",381,"8",48.1,-122.44,1,"21","orca network","public",5,"spring","21","y"
"2017-04-02",2017,"13:00",381,"8",48.1,-122.44,1,"21","orca network","reliable",4,"spring","21","y"
"2015-04-02",2015,"0:00",384,"8",48.02,-122.31,1,"21","orca network","reliable",4,"spring","21","y"
"2019-04-25",2019,"0:00",375,"8",48.18,-122.55,1,"21","orca network","reliable",4,"spring","21","y"
"2019-04-08",2019,"11:50",381,"8",48.1,-122.44,1,"21","orca network","reliable",4,"spring","21","y"
"2019-04-06",2019,"11:45",384,"8",48.02,-122.31,1,"21","orca network","reliable",4,"spring","21","y"
"2019-04-05",2019,"12:15",383,"8",48.06,-122.4,1,"21","orca network","reliable",4,"spring","21","y"
"2017-04-12",2017,"13:47",378,"8",48.13,-122.38,1,"21","orca network","reliable",4,"spring","21","y"
"2013-04-08",2013,"14:05",375,"8",48.18,-122.55,1,"21","orca network","reliable",4,"spring","21","y"
"2015-03-08",2015,"11:45",398,"9",47.89,-122.36,1,"21","orca network","reliable",3,"spring","21","y"
"2020-03-21",2020,"13:00",384,"8",48.02,-122.31,1,"21","orca network","public",3,"spring","21","y"
"2018-04-20",2018,"10:39",384,"8",48.02,-122.31,1,"21","orca network","reliable",4,"spring","21","y"
"2018-03-30",2018,"13:30",378,"8",48.13,-122.38,1,"21","orca network","reliable",3,"spring","21","y"
"2018-03-24",2018,"11:45",381,"8",48.1,-122.44,1,"21","orca network","public",3,"spring","21","y"
"2018-03-21",2018,"0:00",384,"8",48.02,-122.31,1,"22","orca network","reliable",3,"spring","22","y"
"2015-03-25",2015,"12:40",384,"8",48.02,-122.31,1,"22","orca network","reliable",3,"spring","22","y"
"2020-06-05",2020,"0:00",386,"8",47.96,-122.29,1,"22","orca network","public",6,"summer","22","y"
"2016-05-21",2016,"9:00",384,"8",48.02,-122.31,1,"22","orca network","reliable",5,"spring","22","y"
"2020-06-18",2020,"14:00",264,"20C",48.35,-123.72,1,"22","orca network","reliable",6,"summer","22","y"
"2020-06-14",2020,"8:15",386,"8",47.96,-122.29,1,"22","orca network","reliable",6,"summer","22","y"
"2020-06-13",2020,"13:34",385,"8",48.01,-122.22,1,"22","orca network","reliable",6,"summer","22","y"
"2020-06-10",2020,"18:28",385,"8",48.01,-122.22,1,"22","orca network","reliable",6,"summer","22","y"
"2023-04-06",2023,"7:45",385,"8",48.01,-122.22,1,"22","orca network","public",4,"spring","22","y"
"2023-02-18",2023,"13:44",385,"8",48.01,-122.22,1,"22","orca network","reliable",2,"winter","22","y"
"2023-02-18",2023,"16:00",385,"8",48.01,-122.22,1,"22","orca network","reliable",2,"winter","22","y"
"2023-04-06",2023,"7:15",378,"8",48.13,-122.38,1,"22","orca network","public",4,"spring","22","y"
"2023-04-20",2023,"16:40",379,"8",48.12,-122.52,1,"22","orca network","public",4,"spring","22","y"
"2023-04-20",2023,"17:25",379,"8",48.12,-122.52,1,"22","unknown","unknown",4,"spring","22","y"
"2023-04-20",2023,"17:47",379,"8",48.12,-122.52,1,"22","orca network","reliable",4,"spring","22","y"
"2023-02-23",2023,"11:03",382,"8",48.08,-122.33,1,"22","orca network","reliable",2,"winter","22","y"
"2023-02-13",2023,"12:58",382,"8",48.08,-122.33,1,"22","orca network","reliable",2,"winter","22","y"
"2023-01-09",2023,"11:15",383,"8",48.06,-122.4,1,"22","orca network","reliable",1,"winter","22","y"
"2023-01-22",2023,"17:07",383,"8",48.06,-122.4,1,"22","orca network","public",1,"winter","22","y"
"2023-02-01",2023,"15:50",379,"8",48.12,-122.52,1,"22","orca network","public",2,"winter","22","y"
"2023-01-20",2023,"11:00",381,"8",48.1,-122.44,1,"22","orca network","reliable",1,"winter","22","y"
"2023-01-17",2023,"10:30",383,"8",48.06,-122.4,1,"22","orca network","reliable",1,"winter","22","y"
"2023-01-17",2023,"11:00",383,"8",48.06,-122.4,1,"22","orca network","reliable",1,"winter","22","y"
"2019-03-27",2019,"0:00",384,"8",48.02,-122.31,1,"22","orca network","ww",3,"spring","22","y"
"2019-03-24",2019,"11:00",375,"8",48.18,-122.55,1,"22","orca network","ww",3,"spring","22","y"
"2015-04-17",2015,"0:00",385,"8",48.01,-122.22,1,"22","orca network","reliable",4,"spring","22","y"
"2023-02-13",2023,"13:35",376,"8",48.21,-122.38,1,"22","orca network","reliable",2,"winter","22","y"
"2018-05-27",2018,"0:00",384,"8",48.02,-122.31,1,"22","orca network","reliable",5,"spring","22","y"
"2018-05-26",2018,"0:00",384,"8",48.02,-122.31,1,"22","orca network","public",5,"spring","22","y"
"2017-04-09",2017,"11:45",383,"8",48.06,-122.4,1,"22","other","ww",4,"spring","22","y"
